Date,A,ABBV,ABT,ACN,ADBE,AES,AFL,AMD,AOS,MMM
2018-10-05,67.55265045166016,72.55577087402344,64.91421508789062,157.014892578125,263.2200012207031,12.253853797912598,40.68813705444336,27.350000381469727,46.35643768310547,136.2467803955078
2018-10-08,66.78390502929688,72.88634490966797,64.7872543334961,155.79522705078125,254.69000244140625,12.34580135345459,41.2393913269043,26.459999084472656,46.572357177734375,137.00091552734375
2018-10-09,66.69743347167969,72.70183563232422,64.65121459960938,154.78660583496094,254.16000366210938,12.387592315673828,41.484397888183594,27.239999771118164,44.854129791259766,134.47654724121094
2018-10-10,64.06449890136719,71.556396484375,62.50190734863281,148.3126678466797,237.91000366210938,12.354158401489258,40.53938293457031,25.0,43.62165832519531,129.19126892089844
2018-10-11,62.35407257080078,69.72672271728516,62.0121955871582,143.04920959472656,238.58999633789062,12.069963455200195,38.92935562133789,25.299999237060547,43.06390380859375,125.7274169921875
2018-10-12,63.65131759643555,70.46485900878906,63.132225036621094,146.20362854003906,248.8699951171875,12.245494842529297,38.54435729980469,26.34000015258789,42.96495819091797,126.6860580444336
2018-10-15,63.06513595581055,69.2916259765625,62.55854797363281,144.80982971191406,238.00999450683594,12.404312133789062,38.343101501464844,26.260000228881836,42.78504180908203,127.13980102539062
2018-10-16,64.82363891601562,71.41278076171875,64.60745239257812,147.81752014160156,260.6700134277344,12.838963508605957,38.65810012817383,28.18000030517578,43.75659942626953,129.30630493164062
2018-10-17,64.57379150390625,71.69249725341797,63.951786041259766,147.04017639160156,258.9100036621094,12.60491943359375,39.130615234375,27.299999237060547,42.83901596069336,129.68975830078125
2018-10-18,63.18046188354492,69.8510513305664,62.048614501953125,144.5417022705078,250.35000610351562,12.370875358581543,38.675601959228516,26.6200008392334,41.78646469116211,128.06011962890625
2018-10-19,61.95049285888672,68.35145568847656,61.54779815673828,146.4664764404297,245.02999877929688,12.521333694458008,38.911869049072266,23.65999984741211,40.64398956298828,127.7214126586914
2018-10-22,61.767906188964844,65.47660827636719,62.3946533203125,147.64170837402344,251.05999755859375,12.546411514282227,38.74559020996094,25.030000686645508,40.922855377197266,128.68641662597656
2018-10-23,60.278472900390625,64.45877075195312,62.4401969909668,146.29067993164062,251.75999450683594,12.304007530212402,38.728111267089844,25.09000015258789,40.66197967529297,123.05606842041016
2018-10-24,58.74101257324219,61.700477600097656,60.955902099609375,141.6916046142578,238.44000244140625,12.262215614318848,37.36308288574219,22.790000915527344,39.87932205200195,117.93698120117188
2018-10-25,60.163169860839844,63.503089904785156,61.62064743041992,145.2080078125,252.9199981689453,12.295648574829102,36.91682434082031,19.270000457763672,40.64398956298828,118.22457122802734
2018-10-26,60.278472900390625,62.772708892822266,61.00143051147461,142.92233276367188,245.8000030517578,12.161907196044922,36.488075256347656,17.6299991607666,39.348567962646484,118.19896697998047
2018-10-29,59.65388488769531,63.2155876159668,61.29282760620117,141.3400115966797,239.75,12.136832237243652,36.995582580566406,16.850000381469727,38.035133361816406,118.73583984375
2018-10-30,61.152915954589844,63.39430236816406,61.921142578125,143.0796661376953,238.41000366210938,12.387592315673828,37.74808883666992,17.200000762939453,41.344913482666016,121.30496978759766
2018-10-31,62.25796890258789,60.488365173339844,62.777099609375,145.85574340820312,245.75999450683594,12.294833183288574,37.68684005737305,18.209999084472656,41.17308044433594,121.59252166748047
2018-11-01,62.67116928100586,62.32204055786133,63.87895202636719,146.74411010742188,245.27999877929688,12.429758071899414,37.51183319091797,20.219999313354492,43.48810958862305,122.84516143798828
2018-11-02,63.35343933105469,61.8170051574707,63.915367126464844,145.64295959472656,239.63999938964844,12.311697959899902,37.53809356689453,20.229999542236328,43.48810958862305,123.22219848632812
